,diff,pcr,optionSignal,vWap,price,vWapSignal,time,call,put,date
0,"{'value': '-367050', 'colorCode': 2}","{'value': '0.96', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19744.00', 'colorCode': 0}","{'value': '19754', 'colorCode': 0}","{'value': 'BUY', 'colorCode': 1}",930,10305850,9938800,28/07/2023
1,"{'value': '62150', 'colorCode': 1}","{'value': '1.00', 'colorCode': 2}","{'type': 'BUY', 'colorCode': 1}","{'value': '19743.00', 'colorCode': 0}","{'value': '19755', 'colorCode': 0}","{'value': 'BUY', 'colorCode': 1}",945,13117100,13179250,28/07/2023
2,"{'value': '1334700', 'colorCode': 1}","{'value': '1.09', 'colorCode': 1}","{'type': 'BUY', 'colorCode': 1}","{'value': '19746.00', 'colorCode': 0}","{'value': '19768', 'colorCode': 0}","{'value': 'BUY', 'colorCode': 1}",1000,14378100,15712800,28/07/2023
3,"{'value': '-2339250', 'colorCode': 2}","{'value': '0.88', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19741.00', 'colorCode': 0}","{'value': '19725', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1030,19726900,17387650,28/07/2023
4,"{'value': '-1321200', 'colorCode': 2}","{'value': '0.94', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19740.00', 'colorCode': 0}","{'value': '19724', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1100,20899450,19578250,28/07/2023
5,"{'value': '-2558900', 'colorCode': 2}","{'value': '0.89', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19738.00', 'colorCode': 0}","{'value': '19721', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1130,22862700,20303800,28/07/2023
6,"{'value': '-5227650', 'colorCode': 2}","{'value': '0.80', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19734.00', 'colorCode': 0}","{'value': '19700', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1200,25659000,20431350,28/07/2023
7,"{'value': '-9467350', 'colorCode': 2}","{'value': '0.67', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19729.00', 'colorCode': 0}","{'value': '19695', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1230,28396950,18929600,28/07/2023
8,"{'value': '-7979500', 'colorCode': 2}","{'value': '0.71', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19727.00', 'colorCode': 0}","{'value': '19705', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1300,27976950,19997450,28/07/2023
9,"{'value': '-7402000', 'colorCode': 2}","{'value': '0.74', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19726.00', 'colorCode': 0}","{'value': '19700', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1330,28385800,20983800,28/07/2023
10,"{'value': '-10696850', 'colorCode': 2}","{'value': '0.65', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19724.00', 'colorCode': 0}","{'value': '19691', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1400,30187950,19491100,28/07/2023
11,"{'value': '-8862600', 'colorCode': 2}","{'value': '0.70', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19723.00', 'colorCode': 0}","{'value': '19734', 'colorCode': 0}","{'value': 'BUY', 'colorCode': 1}",1430,29127950,20265350,28/07/2023
12,"{'value': '-6220750', 'colorCode': 2}","{'value': '0.76', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19722.00', 'colorCode': 0}","{'value': '19741', 'colorCode': 0}","{'value': 'BUY', 'colorCode': 1}",1500,26087400,19866650,28/07/2023
13,"{'value': '-4169400', 'colorCode': 2}","{'value': '0.75', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19729.00', 'colorCode': 0}","{'value': '19734', 'colorCode': 0}","{'value': 'BUY', 'colorCode': 1}",1530,16809600,12640200,28/07/2023
14,"{'value': '650750', 'colorCode': 1}","{'value': '1.04', 'colorCode': 1}","{'type': 'BUY', 'colorCode': 1}","{'value': '19745.00', 'colorCode': 0}","{'value': '19732', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1015,16678050,17328800,28/07/2023
15,"{'value': '-2559900', 'colorCode': 2}","{'value': '0.88', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19740.00', 'colorCode': 0}","{'value': '19732', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1045,20820150,18260250,28/07/2023
16,"{'value': '-1066150', 'colorCode': 2}","{'value': '0.95', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19740.00', 'colorCode': 0}","{'value': '19718', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1115,21287950,20221800,28/07/2023
17,"{'value': '-3602200', 'colorCode': 2}","{'value': '0.85', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19736.00', 'colorCode': 0}","{'value': '19695', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1145,24142100,20539900,28/07/2023
18,"{'value': '-8120700', 'colorCode': 2}","{'value': '0.70', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19731.00', 'colorCode': 0}","{'value': '19690', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1215,27145800,19025100,28/07/2023
19,"{'value': '-9580650', 'colorCode': 2}","{'value': '0.66', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19728.00', 'colorCode': 0}","{'value': '19705', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1245,28201100,18620450,28/07/2023
20,"{'value': '-7816500', 'colorCode': 2}","{'value': '0.72', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19726.00', 'colorCode': 0}","{'value': '19720', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1315,28186750,20370250,28/07/2023
21,"{'value': '-9464900', 'colorCode': 2}","{'value': '0.67', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19725.00', 'colorCode': 0}","{'value': '19683', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1345,28999250,19534350,28/07/2023
22,"{'value': '-10180200', 'colorCode': 2}","{'value': '0.66', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19723.00', 'colorCode': 0}","{'value': '19705', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1415,29837600,19657400,28/07/2023
23,"{'value': '-7222400', 'colorCode': 2}","{'value': '0.74', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19722.00', 'colorCode': 0}","{'value': '19708', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1445,27421350,20198950,28/07/2023
24,"{'value': '-3025450', 'colorCode': 2}","{'value': '0.85', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19727.00', 'colorCode': 0}","{'value': '19759', 'colorCode': 0}","{'value': 'BUY', 'colorCode': 1}",1515,20571250,17545800,28/07/2023
0,"{'value': '-367050', 'colorCode': 2}","{'value': '0.96', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19744.00', 'colorCode': 0}","{'value': '19754', 'colorCode': 0}","{'value': 'BUY', 'colorCode': 1}",930,10305850,9938800,28/07/2023
1,"{'value': '62150', 'colorCode': 1}","{'value': '1.00', 'colorCode': 2}","{'type': 'BUY', 'colorCode': 1}","{'value': '19743.00', 'colorCode': 0}","{'value': '19755', 'colorCode': 0}","{'value': 'BUY', 'colorCode': 1}",945,13117100,13179250,28/07/2023
2,"{'value': '1334700', 'colorCode': 1}","{'value': '1.09', 'colorCode': 1}","{'type': 'BUY', 'colorCode': 1}","{'value': '19746.00', 'colorCode': 0}","{'value': '19768', 'colorCode': 0}","{'value': 'BUY', 'colorCode': 1}",1000,14378100,15712800,28/07/2023
3,"{'value': '-2339250', 'colorCode': 2}","{'value': '0.88', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19741.00', 'colorCode': 0}","{'value': '19725', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1030,19726900,17387650,28/07/2023
4,"{'value': '-1321200', 'colorCode': 2}","{'value': '0.94', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19740.00', 'colorCode': 0}","{'value': '19724', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1100,20899450,19578250,28/07/2023
5,"{'value': '-2558900', 'colorCode': 2}","{'value': '0.89', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19738.00', 'colorCode': 0}","{'value': '19721', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1130,22862700,20303800,28/07/2023
6,"{'value': '-5227650', 'colorCode': 2}","{'value': '0.80', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19734.00', 'colorCode': 0}","{'value': '19700', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1200,25659000,20431350,28/07/2023
7,"{'value': '-9467350', 'colorCode': 2}","{'value': '0.67', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19729.00', 'colorCode': 0}","{'value': '19695', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1230,28396950,18929600,28/07/2023
8,"{'value': '-7979500', 'colorCode': 2}","{'value': '0.71', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19727.00', 'colorCode': 0}","{'value': '19705', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1300,27976950,19997450,28/07/2023
9,"{'value': '-7402000', 'colorCode': 2}","{'value': '0.74', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19726.00', 'colorCode': 0}","{'value': '19700', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1330,28385800,20983800,28/07/2023
10,"{'value': '-10696850', 'colorCode': 2}","{'value': '0.65', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19724.00', 'colorCode': 0}","{'value': '19691', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1400,30187950,19491100,28/07/2023
11,"{'value': '-8862600', 'colorCode': 2}","{'value': '0.70', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19723.00', 'colorCode': 0}","{'value': '19734', 'colorCode': 0}","{'value': 'BUY', 'colorCode': 1}",1430,29127950,20265350,28/07/2023
12,"{'value': '-6220750', 'colorCode': 2}","{'value': '0.76', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19722.00', 'colorCode': 0}","{'value': '19741', 'colorCode': 0}","{'value': 'BUY', 'colorCode': 1}",1500,26087400,19866650,28/07/2023
13,"{'value': '-4169400', 'colorCode': 2}","{'value': '0.75', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19729.00', 'colorCode': 0}","{'value': '19734', 'colorCode': 0}","{'value': 'BUY', 'colorCode': 1}",1530,16809600,12640200,28/07/2023
14,"{'value': '650750', 'colorCode': 1}","{'value': '1.04', 'colorCode': 1}","{'type': 'BUY', 'colorCode': 1}","{'value': '19745.00', 'colorCode': 0}","{'value': '19732', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1015,16678050,17328800,28/07/2023
15,"{'value': '-2559900', 'colorCode': 2}","{'value': '0.88', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19740.00', 'colorCode': 0}","{'value': '19732', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1045,20820150,18260250,28/07/2023
16,"{'value': '-1066150', 'colorCode': 2}","{'value': '0.95', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19740.00', 'colorCode': 0}","{'value': '19718', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1115,21287950,20221800,28/07/2023
17,"{'value': '-3602200', 'colorCode': 2}","{'value': '0.85', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19736.00', 'colorCode': 0}","{'value': '19695', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1145,24142100,20539900,28/07/2023
18,"{'value': '-8120700', 'colorCode': 2}","{'value': '0.70', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19731.00', 'colorCode': 0}","{'value': '19690', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1215,27145800,19025100,28/07/2023
19,"{'value': '-9580650', 'colorCode': 2}","{'value': '0.66', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19728.00', 'colorCode': 0}","{'value': '19705', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1245,28201100,18620450,28/07/2023
20,"{'value': '-7816500', 'colorCode': 2}","{'value': '0.72', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19726.00', 'colorCode': 0}","{'value': '19720', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1315,28186750,20370250,28/07/2023
21,"{'value': '-9464900', 'colorCode': 2}","{'value': '0.67', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19725.00', 'colorCode': 0}","{'value': '19683', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1345,28999250,19534350,28/07/2023
22,"{'value': '-10180200', 'colorCode': 2}","{'value': '0.66', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19723.00', 'colorCode': 0}","{'value': '19705', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1415,29837600,19657400,28/07/2023
23,"{'value': '-7222400', 'colorCode': 2}","{'value': '0.74', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19722.00', 'colorCode': 0}","{'value': '19708', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1445,27421350,20198950,28/07/2023
24,"{'value': '-3025450', 'colorCode': 2}","{'value': '0.85', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19727.00', 'colorCode': 0}","{'value': '19759', 'colorCode': 0}","{'value': 'BUY', 'colorCode': 1}",1515,20571250,17545800,28/07/2023
0,"{'value': '-367050', 'colorCode': 2}","{'value': '0.96', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19744.00', 'colorCode': 0}","{'value': '19754', 'colorCode': 0}","{'value': 'BUY', 'colorCode': 1}",930,10305850,9938800,28/07/2023
1,"{'value': '62150', 'colorCode': 1}","{'value': '1.00', 'colorCode': 2}","{'type': 'BUY', 'colorCode': 1}","{'value': '19743.00', 'colorCode': 0}","{'value': '19755', 'colorCode': 0}","{'value': 'BUY', 'colorCode': 1}",945,13117100,13179250,28/07/2023
2,"{'value': '1334700', 'colorCode': 1}","{'value': '1.09', 'colorCode': 1}","{'type': 'BUY', 'colorCode': 1}","{'value': '19746.00', 'colorCode': 0}","{'value': '19768', 'colorCode': 0}","{'value': 'BUY', 'colorCode': 1}",1000,14378100,15712800,28/07/2023
3,"{'value': '-2339250', 'colorCode': 2}","{'value': '0.88', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19741.00', 'colorCode': 0}","{'value': '19725', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1030,19726900,17387650,28/07/2023
4,"{'value': '-1321200', 'colorCode': 2}","{'value': '0.94', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19740.00', 'colorCode': 0}","{'value': '19724', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1100,20899450,19578250,28/07/2023
5,"{'value': '-2558900', 'colorCode': 2}","{'value': '0.89', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19738.00', 'colorCode': 0}","{'value': '19721', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1130,22862700,20303800,28/07/2023
6,"{'value': '-5227650', 'colorCode': 2}","{'value': '0.80', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19734.00', 'colorCode': 0}","{'value': '19700', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1200,25659000,20431350,28/07/2023
7,"{'value': '-9467350', 'colorCode': 2}","{'value': '0.67', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19729.00', 'colorCode': 0}","{'value': '19695', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1230,28396950,18929600,28/07/2023
8,"{'value': '-7979500', 'colorCode': 2}","{'value': '0.71', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19727.00', 'colorCode': 0}","{'value': '19705', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1300,27976950,19997450,28/07/2023
9,"{'value': '-7402000', 'colorCode': 2}","{'value': '0.74', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19726.00', 'colorCode': 0}","{'value': '19700', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1330,28385800,20983800,28/07/2023
10,"{'value': '-10696850', 'colorCode': 2}","{'value': '0.65', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19724.00', 'colorCode': 0}","{'value': '19691', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1400,30187950,19491100,28/07/2023
11,"{'value': '-8862600', 'colorCode': 2}","{'value': '0.70', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19723.00', 'colorCode': 0}","{'value': '19734', 'colorCode': 0}","{'value': 'BUY', 'colorCode': 1}",1430,29127950,20265350,28/07/2023
12,"{'value': '-6220750', 'colorCode': 2}","{'value': '0.76', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19722.00', 'colorCode': 0}","{'value': '19741', 'colorCode': 0}","{'value': 'BUY', 'colorCode': 1}",1500,26087400,19866650,28/07/2023
13,"{'value': '-4169400', 'colorCode': 2}","{'value': '0.75', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19729.00', 'colorCode': 0}","{'value': '19734', 'colorCode': 0}","{'value': 'BUY', 'colorCode': 1}",1530,16809600,12640200,28/07/2023
14,"{'value': '650750', 'colorCode': 1}","{'value': '1.04', 'colorCode': 1}","{'type': 'BUY', 'colorCode': 1}","{'value': '19745.00', 'colorCode': 0}","{'value': '19732', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1015,16678050,17328800,28/07/2023
15,"{'value': '-2559900', 'colorCode': 2}","{'value': '0.88', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19740.00', 'colorCode': 0}","{'value': '19732', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1045,20820150,18260250,28/07/2023
16,"{'value': '-1066150', 'colorCode': 2}","{'value': '0.95', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19740.00', 'colorCode': 0}","{'value': '19718', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1115,21287950,20221800,28/07/2023
17,"{'value': '-3602200', 'colorCode': 2}","{'value': '0.85', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19736.00', 'colorCode': 0}","{'value': '19695', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1145,24142100,20539900,28/07/2023
18,"{'value': '-8120700', 'colorCode': 2}","{'value': '0.70', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19731.00', 'colorCode': 0}","{'value': '19690', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1215,27145800,19025100,28/07/2023
19,"{'value': '-9580650', 'colorCode': 2}","{'value': '0.66', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19728.00', 'colorCode': 0}","{'value': '19705', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1245,28201100,18620450,28/07/2023
20,"{'value': '-7816500', 'colorCode': 2}","{'value': '0.72', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19726.00', 'colorCode': 0}","{'value': '19720', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1315,28186750,20370250,28/07/2023
21,"{'value': '-9464900', 'colorCode': 2}","{'value': '0.67', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19725.00', 'colorCode': 0}","{'value': '19683', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1345,28999250,19534350,28/07/2023
22,"{'value': '-10180200', 'colorCode': 2}","{'value': '0.66', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19723.00', 'colorCode': 0}","{'value': '19705', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1415,29837600,19657400,28/07/2023
23,"{'value': '-7222400', 'colorCode': 2}","{'value': '0.74', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19722.00', 'colorCode': 0}","{'value': '19708', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1445,27421350,20198950,28/07/2023
24,"{'value': '-3025450', 'colorCode': 2}","{'value': '0.85', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19727.00', 'colorCode': 0}","{'value': '19759', 'colorCode': 0}","{'value': 'BUY', 'colorCode': 1}",1515,20571250,17545800,28/07/2023
0,"{'value': '-367050', 'colorCode': 2}","{'value': '0.96', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19744.00', 'colorCode': 0}","{'value': '19754', 'colorCode': 0}","{'value': 'BUY', 'colorCode': 1}",930,10305850,9938800,28/07/2023
1,"{'value': '62150', 'colorCode': 1}","{'value': '1.00', 'colorCode': 2}","{'type': 'BUY', 'colorCode': 1}","{'value': '19743.00', 'colorCode': 0}","{'value': '19755', 'colorCode': 0}","{'value': 'BUY', 'colorCode': 1}",945,13117100,13179250,28/07/2023
2,"{'value': '1334700', 'colorCode': 1}","{'value': '1.09', 'colorCode': 1}","{'type': 'BUY', 'colorCode': 1}","{'value': '19746.00', 'colorCode': 0}","{'value': '19768', 'colorCode': 0}","{'value': 'BUY', 'colorCode': 1}",1000,14378100,15712800,28/07/2023
3,"{'value': '-2339250', 'colorCode': 2}","{'value': '0.88', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19741.00', 'colorCode': 0}","{'value': '19725', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1030,19726900,17387650,28/07/2023
4,"{'value': '-1321200', 'colorCode': 2}","{'value': '0.94', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19740.00', 'colorCode': 0}","{'value': '19724', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1100,20899450,19578250,28/07/2023
5,"{'value': '-2558900', 'colorCode': 2}","{'value': '0.89', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19738.00', 'colorCode': 0}","{'value': '19721', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1130,22862700,20303800,28/07/2023
6,"{'value': '-5227650', 'colorCode': 2}","{'value': '0.80', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19734.00', 'colorCode': 0}","{'value': '19700', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1200,25659000,20431350,28/07/2023
7,"{'value': '-9467350', 'colorCode': 2}","{'value': '0.67', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19729.00', 'colorCode': 0}","{'value': '19695', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1230,28396950,18929600,28/07/2023
8,"{'value': '-7979500', 'colorCode': 2}","{'value': '0.71', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19727.00', 'colorCode': 0}","{'value': '19705', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1300,27976950,19997450,28/07/2023
9,"{'value': '-7402000', 'colorCode': 2}","{'value': '0.74', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19726.00', 'colorCode': 0}","{'value': '19700', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1330,28385800,20983800,28/07/2023
10,"{'value': '-10696850', 'colorCode': 2}","{'value': '0.65', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19724.00', 'colorCode': 0}","{'value': '19691', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1400,30187950,19491100,28/07/2023
11,"{'value': '-8862600', 'colorCode': 2}","{'value': '0.70', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19723.00', 'colorCode': 0}","{'value': '19734', 'colorCode': 0}","{'value': 'BUY', 'colorCode': 1}",1430,29127950,20265350,28/07/2023
12,"{'value': '-6220750', 'colorCode': 2}","{'value': '0.76', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19722.00', 'colorCode': 0}","{'value': '19741', 'colorCode': 0}","{'value': 'BUY', 'colorCode': 1}",1500,26087400,19866650,28/07/2023
13,"{'value': '-4169400', 'colorCode': 2}","{'value': '0.75', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19729.00', 'colorCode': 0}","{'value': '19734', 'colorCode': 0}","{'value': 'BUY', 'colorCode': 1}",1530,16809600,12640200,28/07/2023
14,"{'value': '650750', 'colorCode': 1}","{'value': '1.04', 'colorCode': 1}","{'type': 'BUY', 'colorCode': 1}","{'value': '19745.00', 'colorCode': 0}","{'value': '19732', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1015,16678050,17328800,28/07/2023
15,"{'value': '-2559900', 'colorCode': 2}","{'value': '0.88', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19740.00', 'colorCode': 0}","{'value': '19732', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1045,20820150,18260250,28/07/2023
16,"{'value': '-1066150', 'colorCode': 2}","{'value': '0.95', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19740.00', 'colorCode': 0}","{'value': '19718', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1115,21287950,20221800,28/07/2023
17,"{'value': '-3602200', 'colorCode': 2}","{'value': '0.85', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19736.00', 'colorCode': 0}","{'value': '19695', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1145,24142100,20539900,28/07/2023
18,"{'value': '-8120700', 'colorCode': 2}","{'value': '0.70', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19731.00', 'colorCode': 0}","{'value': '19690', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1215,27145800,19025100,28/07/2023
19,"{'value': '-9580650', 'colorCode': 2}","{'value': '0.66', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19728.00', 'colorCode': 0}","{'value': '19705', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1245,28201100,18620450,28/07/2023
20,"{'value': '-7816500', 'colorCode': 2}","{'value': '0.72', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19726.00', 'colorCode': 0}","{'value': '19720', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1315,28186750,20370250,28/07/2023
21,"{'value': '-9464900', 'colorCode': 2}","{'value': '0.67', 'colorCode': 2}","{'type': 'SELL', 'colorCode': 2}","{'value': '19725.00', 'colorCode': 0}","{'value': '19683', 'colorCode': 0}","{'value': 'SELL', 'colorCode': 2}",1345,28999250,19534350,28/07/2023
